### Footprint positions - created on 2024-08-05T11:13:41-0700 ###
### Printed by KiCad version 8.0.4-8.0.4-0~ubuntu22.04.1
## Unit = inches, Angle = deg.
## Side : top
# Ref     Val                 Package                        PosX       PosY       Rot  Side
C1        0.1uF-10%-50V-0805  C_0805_2012Metric            4.8800    -4.1480   90.0000  top
C2        0.1uF-10%-50V-0805  C_0805_2012Metric            5.7970    -4.1480   90.0000  top
J1        NX_Expansion        M20-782045                   6.2205    -4.0996   90.0000  top
J2        CAN1                70555-0001                   4.2900    -4.4450  -90.0000  top
J3        CAN1                70555-0001                   4.6900    -4.4450  -90.0000  top
J4        CAN2                70555-0001                   5.1900    -4.4450  -90.0000  top
J5        CAN2                70555-0001                   5.5890    -4.4450  -90.0000  top
R1        499R-1%-0805        R_0805_2012Metric            3.5000    -4.3100   90.0000  top
R2        499R-1%-0805        R_0805_2012Metric            3.5800    -4.3100   90.0000  top
R3        499R-1%-0805        R_0805_2012Metric            3.6600    -4.3100   90.0000  top
R4        499R-1%-0805        R_0805_2012Metric            3.7400    -4.3100   90.0000  top
R5        499R-1%-0805        R_0805_2012Metric            3.8200    -4.3100   90.0000  top
U1        74LVC245AD          SO-20_12.8x7.5mm_P1.27mm     3.6560    -3.8700  180.0000  top
U2        MCP2558FD           SO-8_3.9x4.9mm_P1.27mm       4.1190    -4.1120  -90.0000  top
U3        MCP2518FDT-H/SL     SO-14_3.9x8.65mm_P1.27mm     4.4481    -4.1100   90.0000  top
U4        40MHz               ECS-5032MV                   4.7380    -4.1100  180.0000  top
U5        MCP2558FD           SO-8_3.9x4.9mm_P1.27mm       5.0360    -4.1110  -90.0000  top
U6        MCP2518FDT-H/SL     SO-14_3.9x8.65mm_P1.27mm     5.3650    -4.1100   90.0000  top
U7        40MHz               ECS-5032MV                   5.6550    -4.1100  180.0000  top
## End
